date,new_cases,total_cases,new_deaths,total_deaths,new_tests,total_tests,cases_per_million,deaths_per_million,tests_per_million
2020-07-15,114.0,243790.5,17.0,34984.0,28392.0,3635507.0,4032.139087822485,578.6130052171098,60128.96269031098
2020-07-16,162.0,243952.5,13.0,34997.0,28089.0,3663596.0,4034.8184643044533,578.8280169101073,60593.53680143445
2020-07-17,230.0,244182.5,20.0,35017.0,28661.0,3692257.0,4038.6225173344083,579.1588041301034,61067.57142704981
2020-07-18,231.0,244413.5,11.0,35028.0,27569.0,3719826.0,4042.443109725363,579.3407371011012,61523.54507045338
2020-07-19,249.0,244662.5,14.0,35042.0,20621.0,3740447.0,4046.5614106143134,579.5722881550985,61864.60323363032
2020-07-20,218.0,244880.5,3.0,35045.0,14121.0,3754568.0,4050.1669913122705,579.6219062380978,62098.15555030853
2020-07-21,190.0,245070.5,13.0,35058.0,23915.0,3778483.0,4053.309469902233,579.8369179310953,62493.694368618824
2020-07-22,128.0,245198.5,15.0,35073.0,29288.0,3807771.0,4055.426508110208,580.0850083460923,62978.09917358106
2020-07-23,280.0,245478.5,9.0,35082.0,33018.0,3840789.0,4060.0575291901528,580.2338625950906,63524.195795072555
2020-07-24,306.0,245784.5,10.0,35092.0,28970.0,3869759.0,4065.1185736560924,580.3992562050886,64003.341083236846
2020-07-25,252.0,246036.5,5.0,35097.0,28059.0,3897818.0,4069.286492628043,580.4819530100876,64467.41901353032
2020-07-26,274.0,246310.5,5.0,35102.0,25177.0,3922995.0,4073.818277541989,580.5646498150867,64883.83050542236
2020-07-27,254.0,246564.5,5.0,35107.0,19374.0,3942369.0,4078.019275235939,580.6473466200856,65204.26408543255
2020-07-28,168.0,246732.5,5.0,35112.0,25341.0,3967710.0,4080.797887883906,580.7300434250847,65623.38803252856
2020-07-29,202.0,246934.5,11.0,35123.0,30875.0,3998585.0,4084.1388388058663,580.9119763960825,66134.04080339748
2020-07-30,288.0,247222.5,6.0,35129.0,33396.0,4031981.0,4088.9021747738093,581.0112125620814,66686.38930334689
2020-07-31,382.0,247604.5,3.0,35132.0,29686.0,4061667.0,4095.220210675734,581.0608306450807,67177.37677398705
2020-08-01,379.0,247983.5,9.0,35141.0,31905.0,4093572.0,4101.48862849466,581.2096848940789,67705.06508668576
2020-08-02,295.0,248278.5,5.0,35146.0,24496.0,4118068.0,4106.367739989601,581.292381699078,68110.21327373694
2020-08-03,238.0,248516.5,8.0,35154.0,13467.0,4131535.0,4110.304107907555,581.4246965870764,68332.94884832129
2020-08-04,159.0,248675.5,12.0,35166.0,23491.0,4155026.0,4112.933866306523,581.623168919074,68721.47497756766
2020-08-05,190.0,248865.5,5.0,35171.0,29739.0,4184765.0,4116.076344896485,581.7058657240731,69213.33903434081
2020-08-06,384.0,249249.5,10.0,35181.0,32169.0,4216934.0,4122.42745952041,581.871259334071,69745.39373834347
2020-08-07,401.0,249650.5,6.0,35187.0,30392.0,4247326.0,4129.059743281331,581.9704955000699,70248.05799784948
2020-08-08,552.0,250202.5,3.0,35190.0,26631.0,4273957.0,4138.189470553222,582.0201135830694,70688.51772063524
2020-08-09,347.0,250549.5,13.0,35203.0,22773.0,4296730.0,4143.928628820154,582.2351252760667,71065.16858868375
2020-08-10,463.0,251012.5,2.0,35205.0,10904.0,4307634.0,4151.586352963063,582.2682039980664,71245.51378102561
2020-08-11,259.0,251271.5,4.0,35209.0,22063.0,4329697.0,4155.870047462012,582.3343614420655,71610.42170276426
2020-08-12,412.0,251683.5,6.0,35215.0,27330.0,4357027.0,4162.684264193931,582.4335976080644,72062.44243888889
2020-08-13,476.0,252159.5,10.0,35225.0,25629.0,4382656.0,4170.557000029837,582.5989912180625,72486.32972195283
2020-08-14,522.0,252681.5,6.0,35231.0,24868.0,4407524.0,4179.190546471734,582.6982273840613,72897.63055129594
